Matricule,Année,Name,ResultText,Result
00023,2023,Assurer la propreté du Terminal B,"Note SPM supérieur ou égal à seuil défini et résultat enquête qualité item ""4-Propreté : propreté du terminal"" supérieur ou égal à 80%",0
00024,2023,1°) Facturation des redevances fret dans les délais et sans erreurs,"- Toutes les factures fret sont exportables au X3 avant le 11 du mois N+1, dont 95% sont sans erreurs
- Factures envoyées sans retard (dans les 5 jours après chaque quinzaine)",0
00024,2023,2°) Baisse 20% de consommation des papiers,"Factures fret envoyées par mail, sans envoi physique, sauf pour les clients qui en demandent",0
00033,2023,Fahavitan'ny annonce isaky ny misy vols,"Tsy misy fanamarihana azo avy amin'ny (compagnie, chef hiérarchique, entité)",0
00033,2023,Fahadiovan'ny comptoir d'enregistrement,Tsy latsaky ny 9/10 ny naoty fiche SPM isam-bolana,0
00034,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00034,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00037,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00037,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00041,2023,Entretenir les espaces verts (salon VVIP),Atteint si planning d'entretien des espaces verts (VVIP) respecté,0
00041,2023,Assurer le desherbage des zones non couvertes par le tracteur,atteint si pas de FNF ni réclamation sur la présence de végétations sur le tarmac (hors intervention tracteur),0
00043,2023,Assurer le nettoyage du tarmac et des voies de service,Zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00043,2023,Assurer la propreté des espaces extérieurs,"Pas de réclamations ou de notifications sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00044,2023,Assurer la disponibilité des infrastructures et équipements dans son périmètre,"Atteint si le taux de propreté et disponibilité moyen est > 95% sur l'année sur les infrastructures et équipements suivants:
1- TOITURE : TC - TA/TB - SIEGE
2- TOITURE : TA/TB -FRET
3- CANIVEAU : TC-TA/TB: Publique - Piste
3- REGARD  EAU USEE/VANNE:  Une et mille Choses, ets...
4- BAC A GRAISSE LOUNGE",0
00044,2023,Limité les incidents majeurs au sein de l'aéroport,Atteint si aucun incident majeur dans le périmètre d'intervention de la maintenance Ravinala n'impacte des biens ou des personnes,0
00046,2023,Assurer la disponibilité des infrastructures et équipements de son périmètre,"Le taux de propreté et disponibilité moyen est >95% sur l'année sur les infrastructures et équipements suivants : 
1-TOITURE : TC-TA/TB-SIEGE
2-TOITURE : TA/TB - FRET
3- CANIVEAU : TC-TA/TB : Publique - piste
4- REGARD EAU USEE/VANNE : Une et mille choses, etc.
5- BAC A GRAISSE LOUNGE",0
00046,2023,Limiter les incidents majeurs au sein de l'aéroport,Aucun incident majeur dans le périmètre d'intervention de la maintenance de Ravinala n'impacte des biens ou des personnes,0
00049,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00049,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00053,2023,Assurer la propreté du Terminal B,"Note SPM supérieur ou égal à seuil défini et résultat enquête qualité item ""4-Propreté : propreté du terminal"" supérieur ou égal à 80%",0
00054,2023,Performance opérationnelle Cargo,Budget 2023 revisé atteint,0
00054,2023,Développement opérationnel Cargo,Reporting mensuel à temps,0
00057,2023,Assurer le suivi des activités dans le TB,Atteint si compte-rendu disponible et transmis au REP à chaque fin de shift (journalier),0
00057,2023,Garantir l'effectif opérationnel à chaque shift,atteint si effectif opérationnel au TB complet à chaque traitement de vols,0
00058,2023,Fahadiovan'ny bureau caisse parking sy manodidina,"Tsy misy fanamarihana azo avy amin'ny pax, entités, lehibe",0
00058,2023,Tsy misy fahabanganany recetteparking,Tsy misy fanamarihana avy amin'ny lehibe,0
00059,2023,Gestion et sécurisation aires de mouvement,ASR 1 fara fahabetsany anatin'ny 6 mois,0
00059,2023,"Mise à jour et classement des documents (RCR, suivi piste, observation oiseaux, FEX)",Mise à jour na misy na tsy misy tranga ary tsy misy fitarainana (=zéro) avy amin'ny Supérieur hiérarchique na entités,0
00060,2023,Fanaraha-maso sy fitsarana ny fahadiovana,Feno ara-dalàna ny fiche SPM,0
00060,2023,Fanaraha-maso ny parking,Tsy misy fanamarihana avy amin'ny mpanjifa,0
00063,2023,Limiter le nombre d'ASR reçu de la part des compagnies à 04 en 2023,ASR<à 4 en 2023 (responsabilité de RA),0
00063,2023,Contribuer  à la redéfinition du chemin de ronde sur l'aérport de TNR,Nouveau tracé de chemin de rondre proposé à la hiérarchie avant fin juin (idéal+ réaliste),0
00064,2023,Performance opérationnelle Cargo,Budget 2023 revisé atteint,0
00064,2023,Développement opérationnel Cargo,Reporting mensuel à temps,0
00065,2023,Etablir les bons de commande,Etablissement des bons de commande dans le temps après réception des DA effectué à temps sans gap,0
00065,2023,Sortie fourniture et collation,Les utilisateurs sont satisfaits quant à la mise à disposition des fournitures de bureau et des collations,0
00065,2023,Suivi des commandes,Exportation manuelle des données de X3 vers Excel,0
00067,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00067,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00068,2023,Entretenir les espaces verts (salon VVIP),Atteint si planning d'entretien des espaces verts (VVIP) respecté,0
00068,2023,Assurer le desherbage des zones non couvertes par le tracteur,atteint si pas de FNF ni réclamation sur la présence de végétations sur le tarmac (hors intervention tracteur),0
00069,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00069,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00070,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00070,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00071,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00071,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00072,2023,Assurer la propreté du Terminal B,"Atteint si note SPM supérieur ou égal à seuil défini & Résultat Enquête qualité item ""4-Propreté: propreté du terminal"" supérieur ou égal à 80%",0
00077,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00077,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00079,2023,Assurer la disponibilité des infrastructures et équipements dans son périmètre,"Atteint si le taux de propreté et disponibilité moyen est > 95% sur l'année sur les infrastructures et équipements suivants:
1- TOITURE : TC - TA/TB - SIEGE
2- TOITURE : TA/TB -FRET
3- CANIVEAU : TC-TA/TB: Publique - Piste
3- REGARD  EAU USEE/VANNE:  Une et mille Choses, ets...
4- BAC A GRAISSE LOUNGE",0
00079,2023,Limité les incidents majeurs au sein de l'aéroport,Atteint si aucun incident majeur dans le périmètre d'intervention de la maintenance Ravinala n'impacte des biens ou des personnes,0
00080,2023,Fiche de stock à jour,Mise à jour des fiches casiers effectué à temps,0
00080,2023,Magasins propres,"Le nettoyage du magasin (PDR) n'est effectué qu'une fois par mois, celui des FBUR et collation est effectué 2 fois par semaine environ",0
00082,2023,Zéro accident ni incident,Atteint si aucun incident ni accident n'est observé durant les heures de travail de son équipe,0
00082,2023,Responsabiliser les équipes et les rendre autonomes,Atteint si au moins 75% des taches effectuées par les équipes sans assistance du Superviseur de travaux,0
00086,2023,Remonté rapide des informations sur les installations en climatisation - Réseaux incendie-  plomberies et alimentation et évacuation  d'eau relié au nouveau terminal (TC ),"Atteint si toutes  les anomalies (CVC, PLB et SPK) sont montées et mentionnés dans les checkliste et mette au courant le responsable, issues du FNA ( formulaire d'anomalie), les défauts affiches sur les équipements (CTA, SPLIT, etc…)",0
00086,2023,Réaliser et respecter les plannings de maintenance préventive et réduire les temps de pannes en maintenance corrective.,Atteint si le taux d'heure dépensée dans la  réalisation de la maintenance préventive dépasse au moins le 80% par rapport à la maintenance corrective.,0
00087,2023,Remonté rapide des informations sur les installations en climatisation - Réseaux incendie-  plomberies et alimentation et évacuation  d'eau relié au nouveau terminal (TC ),"Atteint si toutes  les anomalies (CVC, PLB et SPK) sont montées et mentionnés dans les checkliste et mette au courant le responsable, issues du FNA ( formulaire d'anomalie), les défauts affiches sur les équipements (CTA, SPLIT, etc…)",0
00087,2023,Réaliser et respecter les plannings de maintenance préventive et réduire les temps de pannes en maintenance corrective.,Atteint si le taux d'heure dépensée dans la  réalisation de la maintenance préventive dépasse au moins le 80% par rapport à la maintenance corrective.,0
00090,2023,Miantoka ny fahadiovan'ny Terminal B,"Tratra raha toa ka : naoty SPM ambony na mira amin ny fetra voafaritra sy Vokatra ""Enquête qualité item ""4"" Fahadiovana : Fahadiovan ny Terminal ambony na mira amin ny 80%",0
00092,2023,1°) Facturation des redevances fret dans les délais et sans erreurs,"- Toutes les factures fret sont exportables au X3 avant le 11 du mois N+1, dont 95% sont sans erreurs
- Factures envoyées sans retard (dans les 5 jours après chaque quinzaine)",0
00092,2023,2°) Baisse 20% de consommation des papiers,"Factures fret envoyées par mail, sans envoi physique, sauf pour les clients qui en demandent",0
00094,2023,Fahadiovan'ny ivelan'ny birao Ravinala,Tsy misy fanamarihana azo avy amin'ny supérieur hiérarchique,0
00094,2023,Fahadiovan'ny bozaka any amin'ny bande de piste (balises),"Tsy misy fanamarihana azo avy amin'ny (supérieur hiérarchique, pilotes, TWR, adema)",0
00096,2023,Fahadiovan'ny blocs sanitaires,"Tsy misy fanamarihana azo avy amin'ny (pax,compagnie, chef hiérarchique,entités)",0
00096,2023,Fahadiovan'ny sol arrivée sy ny zone enregistrement,Tsy latsaky ny 9/10 ny naoty fiche SPM isam-bolana,0
00097,2023,Fahadiovan'ny blocs sanitaires,"Tsy misy fanamarihana azo avy amin'ny (pax, compagnie, chef hierarchique, entités)",0
00097,2023,Fahadiovan'ny sol arrivée sy ny zone enregistrement,Tsy latsaky ny 9/10 ny naoty fiche SPM isam-bolana,0
00098,2023,Fahadiovan'ny blocs sanitaires,"Tsy misy fanamarihana azo avy amin'ny (pax, compagnie, chef hierarchique, entités)",0
00098,2023,Fahadiovan'ny sol embarquement international sy national,Tsy latsaky ny 9/10 ny naoty fiche SPM isam-bolana,0
00099,2023,Fahadiovan'ny blocs sanitaires,"Tsy misy fanamarihana azo avy amin'ny (pax, compagnie, chef hierarchique, entités)",0
00099,2023,Fahadiovan'ny sol embarquement international sy national,Tsy latsaky ny 9/10 ny naoty fiche SPM isam-bolana,0
00101,2023,Assurer la propreté du Terminal B,"Atteint si note SPM supérieur ou égal à seuil défini & Résultat Enquête qualité item ""4-Propreté: propreté du terminal"" supérieur ou égal à 80%",0
00102,2023,Assurer la propreté du Terminal B,"Note SPM supérieur ou égal à seuil défini et résultat enquête qualité item ""4-Propreté : propreté du terminal"" supérieur ou égal à 80%",0
00103,2023,Assurer le nettoyage du tarmac et des voies de service,Zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00103,2023,Assurer la propreté des espaces extérieurs,"Pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00104,2023,1- Assurer la disponibilité des informations de vol,Atteint si zéro réclamation mensuelle sur l'affichage des FIDS,0
00104,2023,2-Collecter les données de vols,Atteint si : moins de 5 réclamations mensuelles sur le remplissage d'INFOPAX,0
00106,2023,Assurer la disponibilité des informations de vol,Zéro réclamation mensuelle sur l'affichage des FIDS,0
00106,2023,Collecter les données de vol,Moins de 5 réclamations mensuelles sur le remplissage d'INFOPAX,0
00108,2023,Ramassage ordures réussi,"-programme de tonte bien établi et suivi
-plaintes reçues concernant la coupe des herbes sur la bande de piste <à 2 durant l'année",0
00109,2023,Entretenir les espaces verts (salon VVIP),Atteint si planning d'entretien des espaces verts (VVIP) respecté,0
00109,2023,Assurer le desherbage des zones non couvertes par le tracteur,atteint si pas de FNF ni réclamation sur la présence de végétations sur le tarmac (hors intervention tracteur,0
00110,2023,1°) Facturation des redevances aéronautiques dans les délais et sans erreurs,"- Toutes les factures aéronautiques sont exportables au X3 avant le 11 du mois N+1, dont 95% sont sans erreurs
- Factures aéronautiques envoyées sans retard (dans les 5 jours après chaque quinzaine)",0
00110,2023,2°) Baisse 20% de consommation des papiers,"Factures aéronautiques envoyées par mail, sans envoi physique, sauf pour les clients qui en demandent",0
00111,2023,Miantoka ny fahadiovan'ny Terminal B,"Tratra raha toa ka : naoty SPM ambony na mira amin ny fetra voafaritra sy Vokatra ""Enquête qualité item ""4"" Fahadiovana : Fahadiovan ny Terminal ambony na mira amin ny 80%",0
00112,2023,Gestion de véhicule,"Gestion des véhicules : carnet de bord correct, propreté, entretien dans les temps",0
00112,2023,Satisfaction des utilisateurs,Pas de réclamation des utilisateurs du service rendu par Mbola,0
00113,2023,Assurer le nettoyage du tarmac et des voies de service,Zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00113,2023,Assurer la propreté des espaces extérieurs,"Pas de réclamation ou de notification sur la présence de détritussur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00114,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00114,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00116,2023,Assurer le suivi des activités dans le TB,Compte-rendu disponible et transmis au REP à chaque fin de shift (journalier),0
00116,2023,Garantir l'effectif opérationnel à chaque shift,Effectif opérationnel au TB complet à chauqe traitement de vols,0
00117,2023,Assurer le suivi des activités dans le TB,Atteint si compte-rendu disponible et transmis au REP à chaque fin de shift (journalier),0
00117,2023,Garantir l'effectif opérationnel à chaque shift,atteint si effectif opérationnel au TB complet à chaque traitement de vols,0
00118,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00118,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00123,2023,Assurer la propreté du Terminal B,"Note SPM supérieur ou égal à seuil défini et résultat enquête qualité item ""4-Propreté : propreté du terminal"" supérieur ou égal à 80%",0
00125,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00125,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00127,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00127,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00128,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00128,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00129,2023,Assurer le nettoyage du tarmac et des voies de service,Atteint si zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00129,2023,Assurer la propreté des espaces extérieurs,"Atteint si pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00130,2023,Assurer le nettoyage du tarmac et des voies de service,Zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00130,2023,Assurer la propreté des espaces extérieurs,"Pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00131,2023,Assurer le nettoyage du tarmac et des voies de service,Zéro réclamation (par mois) liée au FOD sur l'aire de mouvement (hors zone intervention balayeuse),0
00131,2023,Assurer la propreté des espaces extérieurs,"Pas de réclamation ou de notification sur la présence de détritus sur les espaces extérieurs, sur la disponibilité des bacs à ordure sur les espaces extérieurs",0
00134,2023,Limiter le nombre d'ASR reçu de la part des compagnies à 04 en 2023,ASR  < à 4 en 2023 (responsabilité de RA),0
00134,2023,Contribuer à la redéfinition du chemin de ronde sur l'aéroport de TNR,Nouveau tracé de chemin de ronde proposé à la hiérarchie avant fin juin (idéal + réaliste),0
00135,2023,Limiter le nombre d'ASR reçu de la part des compagnies à 04 en 2023,ASR < à 4 en 2023 (responsabilité de RA),0
00135,2023,Contribuer à la redéfintion du chemin de ronde sur l'aéroport de TNR,Nouveau tracé de chemin de ronde proposé à la hiérarchie avant mi-octobre (idéal + réaliste),0
00136,2023,Acquisition de connaissances/compétences,"Maitrise de tous les systèmes et  bonne gestion des outils de caisse  mis en place ,                                                                                                                                                                                                                 Tous les clients sont  facturés ,                                                                                                                                                                                                                                                 Information bien remplie  et organisé  sur le logiciel et/ou  PVC : plus de vigilance sur les noms des clients, moins d'annulation et rature
Utilisation des fonds de caisse à bon escient 
Ecart de caisse non-significatifs, évaluation sur faits ( information remontée à temps , bien manier l'argent)",0
00136,2023,Satisfaction client  et parties prenantes,"Moins de réclamation  remontée  :  enthousiate, poli, rapide , accueillant
Moins d'erreur dans son compte : rapide, vigilant, sérieux ; moins d'encombrement à la caisse                                                                                                                                                                                                            Augmentation des  paiements mobile money                                                                                                                                                                                                                                                                                                                                                                                                                                                           Respect des procédures mis en vigueur ( presence au poste , pause ,....)",0
00138,2023,Assurer la propreté du Terminal B,"Note SPM supérieur ou égal à seuil défini et résultat enquête qualité item ""4-Propreté : propreté du terminal"" supérieur ou égal à 80%",0
00139,2023,Suivi de maintenance des UPS TC Siège TA TB Péage,Le technicien effectue un contrôle préventif 2 fois par mois et une fiche d'entretien et vérification avec photo sont présentés,0
00139,2023,Contrôle et vérification des éclairages du Tarmac I et Tarmac II,Technicien effectue un contrôle préventif 2 fois par mois et une fiche d'entretien et vérification avec photo sont présentés,0
00140,2023,Effectuer des relevés systématiques des valeurs électriques au niveau de nos cellules du TC avec vérification et contrôle,Le technicien effectue des relevés au moins 4 fois par mois durant son service y compris avec les fiches de contrôle,0
00140,2023,Contrôle et vérification des éclairages au niveau des toilettes TC TA TB,Technicien effectue moins 2 fois une visite vérification contrôle avec fiches de ronde à l'appui et photo,0
00141,2023,Assurer la propreté du Terminal B,"Atteint si note SPM supérieur ou égal à seuil défini & Résultat Enquête qualité item ""4-Propreté: propreté du terminal"" supérieur ou égal à 80%",0
00142,2023,"Assurer le triage, et non-présence  des déchets dans la salle de dépôt
Vérification quotidienne du bon fonctionnement des équipements et suivi carburant","Taux de traitement et durée de traitements des dechets
0 perte carburant",0
00142,2023,Mettre en œuvre les normes de conformité durant la rélisation des tâches quotidien et aide le technicien pour accomplir leur mission en terme de qualité,0 réclamations venant des collègues et des autres prestataires,0
00143,2023,"Assurer le triage, et non-présence  des déchets dans la salle de dépôt
Vérification quotidienne du bon fonctionnement des équipements et suivi carburant","Taux de traitement et durée de traitements des dechets
0 perte carburant",0
00143,2023,Mettre en œuvre les normes de conformité durant la rélisation des tâches quotidien et aide le technicien pour accomplir leur mission en terme de qualité,0 réclamations venant des collègues et des autres prestataires,0
00144,2023,Assurer la propreté du Terminal B,"Note SPM supérieur ou égal à seuil défini et résultat enquête qualité item ""4-Propreté : propreté du terminal"" supérieur ou égal à 80%",0
00146,2023,"Assurer le triage, et non-présence  des déchets dans la salle de dépôt
Vérification quotidienne du bon fonctionnement des équipements et suivi carburant","Taux de traitement et durée de traitements des dechets
0 perte carburant",0
00146,2023,Mettre en œuvre les normes de conformité durant la rélisation des tâches quotidien et aide le technicien pour accomplir leur mission en terme de qualité,0 réclamations venant des collègues et des autres prestataires,0
00147,2023,Ramassage ordures réussi,"-Programme de tonte bien établi et suivi
- Plaintes reçues concernant la cupe des herbes sur la bande de piste  < à 2 durant l'année",0
00148,2023,Propreté de l'anti-souffle et de la voie de service,"Aucune remarque des supérieurs hiérarchiques (hauteur des herbes, FOD)",0
00148,2023,Propreté du tarmac,"Aucune remarque des supérieurs hiérarchiques, agents de piste, pilotes, ADEMA",0
00150,2023,Gestion et sécurisation aires de mouvement,ASR iray (01) fara fahabetsany anatin'ny 6 mois,0
00150,2023,"Mise à jour et classement des documents (rCR, suivi piste, observation oiseaux, FEX)",Mise à jour na misy na tsy misy tranga ary tsy misy fitarainana (=zéro) avy amin'ny Supérieur hiérarchique na entités),0
00151,2023,Fahadiovan'ny blocs sanitaires,"Tsy misy fanamarihana azo avy (pax, compagnie, chef hiérarchique, entités)",0
00151,2023,Fahadiovan'ny sol arrivée sy ny zone enregistrement,Tsy latsaky ny 9/10 ny naoty fiche SPM isam-bolana,0
00152,2023,Fahadiovan'ny blocs sanitaires,"Tsy misy fanamarihana azo avy (pax, compagnie, chef hiérarchique, entités)",0
00152,2023,Fahadiovan'ny sol embarquement international sy national,Tsy latsaky ny 9/10 ny naoty fiche SPM isam-bolana,0
00153,2023,Fahadiovan'ny blocs sanitaires,"Tsy misy fanamarihana azo avy (pax, compagnie, chef hiérarchique, entités)",0
